 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> cervenec 12, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\Magnesium in  H- O.txt

 Ion = Magnesium [12] , Mass = 23,985 amu

 Target Density =  1,0000E+00 g/cm3 = 1,0029E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066,67    011,19   
      O      8    033,33    088,81   
 ====================================
 Bragg Correction = -6,00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   4,50 GeV   6,686E+01  2,445E-02   38,97 mm     1,57 mm   183,01 um  
   5,00 GeV   6,242E+01  2,220E-02   46,71 mm     1,91 mm   217,66 um  
   5,50 GeV   5,878E+01  2,033E-02   54,96 mm     2,24 mm   254,23 um  
   6,00 GeV   5,572E+01  1,877E-02   63,70 mm     2,56 mm   292,52 um  
   6,50 GeV   5,314E+01  1,744E-02   72,88 mm     2,87 mm   332,38 um  
   7,00 GeV   5,092E+01  1,629E-02   82,50 mm     3,18 mm   373,66 um  
   8,00 GeV   4,730E+01  1,440E-02  102,88 mm     4,29 mm   459,99 um  
   9,00 GeV   4,450E+01  1,292E-02  124,67 mm     5,29 mm   550,57 um  
  10,00 GeV   4,227E+01  1,172E-02  147,73 mm     6,21 mm   644,61 um  
  11,00 GeV   4,046E+01  1,074E-02  171,91 mm     7,09 mm   741,46 um  
  12,00 GeV   3,897E+01  9,907E-03  197,09 mm     7,94 mm   840,58 um  
  13,00 GeV   3,771E+01  9,200E-03  223,18 mm     8,76 mm   941,51 um  
  14,00 GeV   3,665E+01  8,591E-03  250,07 mm     9,55 mm     1,04 mm  
  15,00 GeV   3,575E+01  8,059E-03  277,69 mm    10,32 mm     1,15 mm  
  16,00 GeV   3,497E+01  7,592E-03  305,97 mm    11,07 mm     1,25 mm  
  17,00 GeV   3,429E+01  7,178E-03  334,84 mm    11,80 mm     1,36 mm  
  18,00 GeV   3,370E+01  6,807E-03  364,26 mm    12,51 mm     1,46 mm  
  20,00 GeV   3,273E+01  6,174E-03  424,48 mm    15,14 mm     1,67 mm  
