 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> cervenec 12, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\Oxygen in  H- O.txt

 Ion = Oxygen [8] , Mass = 15,995 amu

 Target Density =  1,0000E+00 g/cm3 = 1,0029E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066,67    011,19   
      O      8    033,33    088,81   
 ====================================
 Bragg Correction = -6,00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   2,50 GeV   3,396E+01  1,320E-02   42,05 mm     1,75 mm   245,67 um  
   2,75 GeV   3,181E+01  1,209E-02   49,66 mm     2,06 mm   288,35 um  
   3,00 GeV   3,002E+01  1,116E-02   57,75 mm     2,36 mm   333,36 um  
   3,25 GeV   2,849E+01  1,037E-02   66,30 mm     2,65 mm   380,53 um  
   3,50 GeV   2,717E+01  9,686E-03   75,28 mm     2,94 mm   429,71 um  
   3,75 GeV   2,603E+01  9,090E-03   84,68 mm     3,23 mm   480,74 um  
   4,00 GeV   2,502E+01  8,565E-03   94,48 mm     3,51 mm   533,50 um  
   4,50 GeV   2,334E+01  7,683E-03  115,16 mm     4,58 mm   643,78 um  
   5,00 GeV   2,200E+01  6,971E-03  137,23 mm     5,54 mm   759,60 um  
   5,50 GeV   2,090E+01  6,384E-03  160,54 mm     6,45 mm   880,21 um  
   6,00 GeV   1,999E+01  5,890E-03  185,00 mm     7,32 mm     1,00 mm  
   6,50 GeV   1,922E+01  5,470E-03  210,51 mm     8,17 mm     1,13 mm  
   7,00 GeV   1,856E+01  5,108E-03  236,98 mm     8,99 mm     1,26 mm  
   8,00 GeV   1,751E+01  4,514E-03  292,46 mm    11,94 mm     1,53 mm  
   9,00 GeV   1,670E+01  4,047E-03  350,95 mm    14,53 mm     1,81 mm  
  10,00 GeV   1,606E+01  3,671E-03  412,01 mm    16,90 mm     2,09 mm  
  11,00 GeV   1,556E+01  3,360E-03  475,27 mm    19,13 mm     2,38 mm  
  12,00 GeV   1,515E+01  3,100E-03  540,41 mm    21,24 mm     2,67 mm  
  13,00 GeV   1,481E+01  2,878E-03  607,19 mm    23,25 mm     2,96 mm  
  14,00 GeV   1,453E+01  2,686E-03  675,36 mm    25,17 mm     3,24 mm  
  15,00 GeV   1,429E+01  2,519E-03  744,76 mm    27,02 mm     3,53 mm  
  16,00 GeV   1,409E+01  2,373E-03  815,21 mm    28,81 mm     3,82 mm  
  17,00 GeV   1,393E+01  2,243E-03  886,58 mm    30,53 mm     4,10 mm  
  18,00 GeV   1,378E+01  2,127E-03  958,76 mm    32,20 mm     4,38 mm  
  20,00 GeV   1,356E+01  1,928E-03    1,11 m     38,28 mm     4,94 mm  
  22,50 GeV   1,336E+01  1,728E-03    1,29 m     46,44 mm     5,62 mm  
  25,00 GeV   1,322E+01  1,566E-03    1,48 m     53,53 mm     6,28 mm  
  27,50 GeV   1,313E+01  1,433E-03    1,67 m     59,89 mm     6,92 mm  
  30,00 GeV   1,307E+01  1,321E-03    1,86 m     65,70 mm     7,54 mm  
  32,50 GeV   1,303E+01  1,226E-03    2,05 m     71,07 mm     8,14 mm  
  35,00 GeV   1,301E+01  1,144E-03    2,24 m     76,09 mm     8,72 mm  
  37,50 GeV   1,301E+01  1,073E-03    2,44 m     80,80 mm     9,29 mm  
  40,00 GeV   1,302E+01  1,010E-03    2,63 m     85,25 mm     9,83 mm  
  45,00 GeV   1,305E+01  9,050E-04    3,01 m    101,06 mm    10,89 mm  
  50,00 GeV   1,310E+01  8,201E-04    3,39 m    114,62 mm    11,88 mm  
  55,00 GeV   1,317E+01  7,502E-04    3,77 m    126,64 mm    12,82 mm  
  60,00 GeV   1,324E+01  6,915E-04    4,15 m    137,50 mm    13,72 mm  
  65,00 GeV   1,332E+01  6,416E-04    4,53 m    147,46 mm    14,58 mm  
  70,00 GeV   1,339E+01  5,986E-04    4,90 m    156,68 mm    15,39 mm  
  80,00 GeV   1,355E+01  5,283E-04    5,65 m    188,59 mm    16,93 mm  
  90,00 GeV   1,371E+01  4,731E-04    6,38 m    215,25 mm    18,35 mm  
 100,00 GeV   1,386E+01  4,286E-04    7,10 m    238,46 mm    19,67 mm  
 110,00 GeV   1,400E+01  3,919E-04    7,82 m    259,17 mm    20,91 mm  
 120,00 GeV   1,414E+01  3,612E-04    8,53 m    277,98 mm    22,08 mm  
 130,00 GeV   1,427E+01  3,351E-04    9,24 m    295,28 mm    23,19 mm  
 140,00 GeV   1,439E+01  3,125E-04    9,93 m    311,33 mm    24,23 mm  
 150,00 GeV   1,451E+01  2,929E-04   10,63 m    326,35 mm    25,23 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1,0000E-01                 eV / Angstrom 
  1,0000E+00                keV / micron   
  1,0000E+00                MeV / mm       
  1,0000E-02                keV / (ug/cm2) 
  1,0000E-02                MeV / (mg/cm2) 
  1,0000E+01                keV / (mg/cm2) 
  9,9709E-02                 eV / (1E15 atoms/cm2)
  1,5172E-03                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
